"country_code","country_name_en","country_name_fr","currency_code","currency_name_en","currency_name_fr"
"MNP","Northern Mariana Islands (the)","Îles Mariannes du Nord (les)","USD","US Dollar","dollar américain"
"MOZ","Mozambique","Mozambique (le)","MZN","Mozambique Metical","metical"
"MRT","Mauritania","Mauritanie (la)","MRU","Ouguiya","ouguiya"
"MSR","Montserrat","Montserrat","XCD","East Caribbean Dollar","dollar des Caraïbes orientales"
"MTQ","Martinique","Martinique (la)","EUR","Euro","euro"
"MUS","Mauritius","Maurice","MUR","Mauritius Rupee","roupie mauricienne"
"MWI","Malawi","Malawi (le)","MWK","Kwacha","kwacha"
"MYS","Malaysia","Malaisie (la)","MYR","Malaysian Ringgit","ringgit malaisien"
"MYT","Mayotte","Mayotte","EUR","Euro","euro"
"NAM","Namibia","Namibie (la)","NAD","Namibia Dollar","dollar namibien"
"NAM","Namibia","Namibie (la)","ZAR","Rand","rand"
"NCL","New Caledonia","Nouvelle-Calédonie (la)","XPF","CFP Franc","franc CFP"
"NER","Niger (the)","Niger (le)","XOF","CFA Franc BCEAO","franc CFA BCEAO"
"NFK","Norfolk Island","Île Norfolk (l')","AUD","Australian Dollar","dollar australien"
"NGA","Nigeria","Nigéria (le)","NGN","Naira","naira"
"NIC","Nicaragua","Nicaragua (le)","NIO","Cordoba Oro","córdoba oro"
"NIU","Niue","Nioué","NZD","New Zealand Dollar","dollar néo-zélandais"
"NLD","Netherlands (the)","Pays-Bas (les)","EUR","Euro","euro"
"NOR","Norway","Norvège (la)","NOK","Norwegian Krone","couronne norvégienne"
"NPL","Nepal","Népal (le)","NPR","Nepalese Rupee","roupie népalaise"
"NRU","Nauru","Nauru","AUD","Australian Dollar","dollar australien"
"NZL","New Zealand","Nouvelle-Zélande (la)","NZD","New Zealand Dollar","dollar néo-zélandais"
"OMN","Oman","Oman","OMR","Rial Omani","rial omanais"
"PAK","Pakistan","Pakistan (le)","PKR","Pakistan Rupee","roupie pakistanaise"
"PAN","Panama","Panama (le)","PAB","Balboa","balboa"
"PAN","Panama","Panama (le)","USD","US Dollar","dollar américain"
"PCN","Pitcairn","Pitcairn","NZD","New Zealand Dollar","dollar néo-zélandais"
"PER","Peru","Pérou (le)","PEN","Nuevo Sol","sol péruvien"
"PHL","Philippines (the)","Philippines (les)","PHP","Philippine Peso","peso philippin"
"PLW","Palau","Palaos (les)","USD","US Dollar","dollar américain"
