"code","uri","label_en","label_fr","scientific_name","species_group_code","is_iotc","is_aggregate"
"GES",,"Snake mackerel","Escolier serpent","Gempylus serpens","NTAD",0,0
"GLT",,"Golden trevally","Carangue royale","Gnathanodon speciosus","NTAD",0,0
"GRO",,"Groundfishes","Poisson de fond nca","Osteichthyes","NTAD",0,1
"GSE",,"Goldenstriped soapfish","G","Grammistes sexlineatus","NTAD",0,0
"GTF",,"Guitarfishes, etc. nei","Guitares, etc. nca","Rhinobatidae","NTAD",0,0
"GUT",,"Indo-Pacific king mackerel","Thazard ponctué indo-pacifique","Scomberomorus guttatus","GUT",1,0
"GZX",,"Toothponies nei","G","Gazza spp","NTAD",0,0
"HCM",,"Hooktooth shark","Milandre harpon","Comadreja ganchuda","RSK",0,0
"HEE",,"Snaggletooth shark","T","Hemipristis elongata","RSK",0,0
"IAX",,"Needle Cuttle fish","Seiches nca","Sepia aculeata","NTAD",0,0
"ISB",,"Cookie cutter shark","Squalelet féroce","Isistius brasiliensis","NTAD",0,0
"KAFR",,"Kawakawa and Frigate and bullet tunas","Thonine orientale et Auxide et bonitou","Euthynnus affinis; Auxis spp.","TUN",1,1
"KAK",,"Kanadi kingfish","Thazard kanadi","Scomberomorus plurilineatus","KGX",0,0
"KAW",,"Kawakawa","Thonine orientale","Euthynnus affinis","KAW",1,0
"KGX",,"Seerfishes nei","Thazards nca","Scomberomorus spp.","KGX",1,1
"KOS",,"Korean seerfish","Thazard coreen","Scomberomorus koreanus","KGX",0,0
"KYC",,"Blue sea chub","Calicagère bleue","Kyphosus cinerascens","NTAD",0,0
"KYP",,"Kyphosus sea chubs nei","Kyphosus calicagères nca","Kyphosus spp","NTAD",0,0
"KYV",,"Brassy chub","Saupe grise à lignes jaunes","Kyphosus vaigiensis","NTAD",0,0
"LAG",,"Opah","Opah","Lampris guttatus","NTAD",0,0
"LAI",,"Southern opah","S","Lampris immaculatus","NTAD",0,0
"LEB",,"Leaping bonito","Bonite","Cybiosarda elegans","NTAD",0,0
"LEC",,"Escolar","Escolier noir","Lepidocybium flavobrunneum","NTAD",0,0
"LEK",,"Unicorn crestfish","Unicorn crestfish","Eumecichthys fiski","NTAD",0,0
"LGE",,"Common ponyfish","Sapsaps","Leiognathus equulus","NTAD",0,0
"LGH",,"Oceanic puffer","Compère océanique","Lagocephalus lagocephalus","NTAD",0,0
"LHT",,"Largehead hairtail","Poisson-sabre commun","Trichiurus lepturus","NTAD",0,0
"LIB",,"Brushtooth lizardfish","Anoli à grandes écailles","Saurida undosquamis","NTAD",0,0
"LKV",,"Olive ridley turtle","Tortue olivatre","Lepidochelys olivacea","NTAD",0,0
"LLL",,"Crested oarfish","Oarfish aigrettes","Lophotus lacepede","NTAD",0,0
"LMA",,"Longfin mako","Petite taupe","Isurus paucus","LMA",0,0
"LOB",,"Tripletail","Croupia roche","Lobotes surinamensis","NTAD",0,0
"LOKA",,"Longtail tuna and kawakawa","Thon mignon et Thonine orientale","Thunnus tonggol & Euthynnus affinis","TUN",1,1
"LOT",,"Longtail tuna","Thon mignon","Thunnus tonggol","LOT",1,0
"LTA",,"Little tunny(=Atl.black skipj)","Thonine commune","Euthynnus alletteratus","TUN",0,0
"LXR",,"Orbicular batfish","Platax orbiculaire","Platax orbicularis","NTAD",0,0
"MAA",,"Blue mackerel","Maquereau tacheté","Scomber australasicus","NTAD",0,0
"MAK",,"Mako sharks","Taupes","Isurus spp","MAK",0,1
"MAN",,"Mantas, devil rays nei","Mantes, diables de mer nca","Mobulidae","SRX",0,0
"MARL",,"Marlins nei","Marlin rayé et makaires nca","Tetrapturus audax; Makaira spp.","BILL",1,1
"MAS",,"Chub mackerel","Maquereau espagnol","Scomber japonicus","NTAD",0,0
"MAX",,"Mackerels nei","Maquereaux nca","Scombridae","NTAD",0,0
"MLBS",,"Black Marlin and Striped Marlin","Makaire Bleu et Marlin raye","Makaira nigricans & Tetrapturus audax","BILL",1,1
"MLS",,"Striped marlin","Marlin rayé","Tetrapturus audax","MLS",1,0
"MLW",,"Atlantic white marlin","Makaire blanc Atlantique","Tetrapturus albidus","BILL",0,0
"MOO",,"MoonFish","Luneur","Mene maculata","NTAD",0,0
"MOP",,"Sunfish","S","Mola spp","NTAD",0,0
"MOX",,"Ocean sunfish","Poisson lune","Mola mola","NTAD",0,0
"MRW",,"Sharptail mola","Sharptail mola","Masturus lanceolatus","NTAD",0,0
"MSD",,"Mackerel scad","Comète maquereau","Decapterus macarellus","NTAD",0,0
"MSK",,"Sharks mackerel and porbeagles nei","Requins taupe nca","Lamnidae","MSK",0,1
"MZZ",,"Marine fishes nei","Poissons marins nca","Osteichthyes","NTAD",0,1
"NAU",,"Pilotfish","Poisson pilote","Naucrates ductor","NTAD",0,0
"NEN",,"Black gemfish","Escolier long nez","Nesiarchus nasutus","NTAD",0,0
"NGT",,"Island trevally","Carangue des îles","Carangoides orthogrammus","NTAD",0,0
"NHR",,"Largescale triggerfish","N","Canthidermis macrolepis","NTAD",0,0
"NTAD",,"Non targeted, associated and dependent species","Espèces non ciblées, associées et dépendantes","n/a","NTAD",0,1
"NTC",,"Broadnose sevengill shark","Platnez","Notorhynchus cepedianus","SKH",0,0
"OBIL",,"Billfish nei","Poissons epée nca","Xiphioidei","BILL",1,1
"OCS",,"Oceanic whitetip shark","Requin océanique","Carcharhinus longimanus","OCS",0,0
"OCX",,"Carpet sharks","C","Orectolobiformes","NTAD",0,0
"OIL",,"Oilfish","Ruvet","Ruvettus pretiosus","NTAD",0,0
"OSF",,"Zebra shark","Requin zèbre","Stegostoma fasciatum","RSK",0,0
"OTHR",,"Other non tuna-like fishes nei","Poissons non du type thon nca","Fishes non Scombroidei","NTAD",0,1
"OXY",,"Angular rough shark","Centrine communes","Oxynotus centrina","SKH",0,0
"PHT",,"Tardoore","Poisson-papier tarture","Opisthopterus tardoore","NTAD",0,0
"PLS",,"Pelagic stingray","Pastenague violette","Dasyatis violacea","SRX",0,0
"POA",,"Atlantic pomfret","Grande castagnole","Brama brama","NTAD",0,0
"POL",,"Pollack","Lieu jaune","Pollachius pollachius","NTAD",0,0
"POR",,"Porbeagle","Requin-taupe commun","Lamma nasus","POR",0,0
"POY",,"Ponyfishes(=Slipmouths)","Sapsap","Leiognathus spp","NTAD",0,0
"PRP",,"Roudi escolar","Escolier clair","Promethichthys prometheus","NTAD",0,0
"PRU",,"Raconda","R","Raconda russeliana","NTAD",0,0
"PSK",,"Crocodile shark","Requin crocodile","Pseudocarcharias kamoharai","PSK",0,0
"PTH",,"Pelagic thresher shark","Renard pelagique","Alopias pelagicus","PTH",0,0
"QUM",,"Queensland school mackerel","Thazard du Queensland","Scomberomorus queenslandicus","NTAD",0,0
"RAG",,"Indian mackerel","Maquereau des Indes","Rastrelliger kanagurta","NTAD",0,0
"RAJ",,"Rays and skates nei","Rajidés nca","Rajidae","SRX",0,0
"RAX",,"Mackerels Indian nei","Maquereaux Indo-pacifique nca","Rastrelliger spp.","NTAD",0,1
"REO",,"Shark sucker","Rémora des requins","Remora remora","NTAD",0,0
