"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"SSQ",,"Velvet dogfish",,"Zameus squamulosus","ELASMOBRANCHS","SHARKS","Somniosidae","Squaliformes",0,1,0,0,1
"STS",,"Streaked seerfish","Thazard cirrus","Scomberomorus lineolatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"STT",,"Stingrays, butterfly rays nei","Pastenagues, etc. nca","Dasyatidae","ELASMOBRANCHS","RAYS","Dasyatidae","Myliobatiformes",0,,0,1,1
"SUU",,"Australian angelshark","Ange de mer australien","Squatina australis","ELASMOBRANCHS","SHARKS","Squatinidae","Squatiniformes",0,1,0,0,1
"SWA",,"White seabream","Sar commun","Diplodus sargus","OTHERS","OTHERS","Sparidae","Percoidei",0,1,0,0,1
"SWO",,"Swordfish","Espadon","Xiphias gladius","BILLFISH","BILLFISH","Xiphiidae","Scombroidei",1,1,0,0,1
"SXX",,"Seals and sea lions NEI","Phoques et otaries NCA","Otariidae, Phocidae","OTHERS","OTHERS","OTARIIDAE,PHOCIDAE","PINNIPEDIA",0,0,1,1,1
"TAL",,"Big-scale pomfret",,"Taractichthys longipinnis","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,0,1
"TCR",,,,"Taractes rubescens","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,0,1
"TCW",,"Hairtails nei","Poissons-sabres nca","Trichiurus spp","OTHERS","OTHERS","Trichiuridae","Scombroidei",0,0,0,1,1
"TEE",,"Pacific fanfish",,"Pteraclis aesticola","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,0,1
"TFM",,"Whiskery shark","Émissole moustachue","Furgaleus macki","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"TGA",,"Giant African threadfin","Gros capitaine","Polydactylus quadrifilis","OTHERS","OTHERS","Polynemidae","Carangiformes (pleuronectoidei)",0,0,0,0,1
"TGW",,"Ginkgo-toothed beaked whale","Baleine à bec de Nishiwaki","Mesoplodon ginkgodens","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"THH",,"Blacktipe tope","Requin-hâ élégant","Hypogaleus hyugaensis","OTHERS","OTHERS","Triakidae","Carcharhiniformes",0,0,0,0,1
