"code","uri","label_en","label_fr","definition_en","definition_fr"
"MYT",,"Mayotte","Mayotte","Mayotte","Mayotte"
"NAM",,"Namibia","Namibie (la)","the Republic of Namibia","la République de Namibie"
"NCL",,"New Caledonia","Nouvelle-Calédonie (la)","New Caledonia","la Nouvelle-Calédonie"
"NEI",,"Not elsewhere identified (NEI)","Non compris alleurs (NCA)","Countries not elsewhere identified (NEI)","Pays non compris alleurs (NCA)"
"NER",,"Niger (the)","Niger (le)","the Republic of the Niger","la République du Niger"
"NFK",,"Norfolk Island","Île Norfolk (l')","Norfolk Island","l'Île Norfolk"
"NGA",,"Nigeria","Nigéria (le)","the Federal Republic of Nigeria","la République fédérale du Nigéria"
"NIC",,"Nicaragua","Nicaragua (le)","the Republic of Nicaragua","la République du Nicaragua"
"NIU",,"Niue","Nioué","Niue","Nioué"
"NLD",,"Netherlands (the)","Pays-Bas (les)","the Kingdom of the Netherlands","le Royaume des Pays-Bas"
"NOR",,"Norway","Norvège (la)","the Kingdom of Norway","le Royaume de Norvège"
"NPL",,"Nepal","Népal (le)","the Federal Democratic Republic of Nepal","la République fédérale démocratique du Nepal"
"NRU",,"Nauru","Nauru","the Republic of Nauru","la République de Nauru"
"NZL",,"New Zealand","Nouvelle-Zélande (la)","New Zealand","la Nouvelle-Zélande"
"OMN",,"Oman","Oman","the Sultanate of Oman","le Sultanat d'Oman"
"PAK",,"Pakistan","Pakistan (le)","the Islamic Republic of Pakistan","la République islamique du Pakistan"
"PAN",,"Panama","Panama (le)","the Republic of Panama","la République du Panama"
"PCN",,"Pitcairn","Pitcairn","Pitcairn","Pitcairn"
"PER",,"Peru","Pérou (le)","the Republic of Peru","la République du Pérou"
"PHL",,"Philippines (the)","Philippines (les)","the Republic of the Philippines","la République des Philippines"
"PLW",,"Palau","Palaos (les)","the Republic of Palau","la République des Palaos"
"PNG",,"Papua New Guinea","Papouasie-Nouvelle-Guinée (la)","the Independent State of Papua New Guinea","l'État indépendant de Papouasie-Nouvelle-Guinée"
"POL",,"Poland","Pologne (la)","the Republic of Poland","la République de Pologne"
